Bureau of Justice Statistics,
Filename: cp16sbf01.csv,
"Figure 1. Number of prisoners under sentence of death, 1953–2016",
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",
"Data source: National Prisoner Statistics program (NPS-8), 2016",
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,
Date of version: 4/30/2018,
,
"Figure 1. Number of prisoners under sentence of death, 1953–2016",
,Number
1953,131
,147
,125
,146
,151
,147
,164
1960,212
,257
,267
,297
,315
,331
,406
,435
,517
,575
1970,631
,642
,334
,134
,244
,488
,420
,423
,482
,593
1980,692
,860
,"1,066"
,"1,209"
,"1,420"
,"1,575"
,"1,800"
,"1,967"
,"2,117"
,"2,243"
1990,"2,346"
,"2,465"
,"2,580"
,"2,727"
,"2,905"
,"3,064"
,"3,242"
,"3,328"
,"3,465"
,"3,527"
2000,"3,601"
,"3,577"
,"3,562"
,"3,377"
,"3,320"
,"3,245"
,"3,228"
,"3,215"
,"3,210"
,"3,173"
2010,"3,139"
,"3,065"
,"3,011"
,"2,983"
,"2,942"
,"2,872"
2016,"2,814"
Note: See appendix table 4 for counts.,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1953–2016.",
