Bureau of Justice Statistics,
Filename: cp16sbf03.csv,
"Figure 3. Number of prisoners executed under civil authority in the United States, 1930-2016",
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",
"Data source: National Prisoner Statistics program (NPS-8), 2016",
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,
Date of version: 4/30/2018,
,
"Figure 3. Number of prisoners executed under civil authority in the United States, 1930-2016",
,Executions
1930,155
,153
,140
,160
,168
,199
,195
,147
,190
,160
1940,124
,123
,147
,131
,120
,117
,131
,153
,119
,119
1950,82
,105
,83
,62
,81
,76
,65
,65
,49
,49
1960,56
,42
,47
,21
,15
,7
,1
,2
,0
,0
1970,0
,0
,0
,0
,0
,0
,0
,1
,0
,2
1980,0
,1
,2
,5
,21
,18
,18
,25
,11
,16
1990,23
,14
,31
,38
,31
,56
,45
,74
,68
,98
2000,85
,66
,71
,65
,59
,60
,53
,42
,37
,52
2010,46
,43
,43
,39
,35
,28
2016,20
Note: Excludes 160 executions carried out by military authorities from 1930 to 1961. See appendix table 6 for counts.,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1930–2016.",
