Bureau of Justice Statistics,
Filename: cp16sbat02.csv,
"Appendix table 2. Federal capital offenses, 2016",
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",
"Data source: National Prisoner Statistics program (NPS-8), 2016",
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,
Date of version: 4/30/2018,
,
"Appendix table 2. Federal capital offenses, 2016",
Statute,Description
8 U.S.C. 1342 ,Murder related to the smuggling of aliens.
18 U.S.C. 32-34,"Destruction of aircraft, motor vehicles, or related facilities resulting in death. "
18 U.S.C. 36,Murder committed during a drug-related drive-by shooting. 
18 U.S.C. 37,Murder committed at an airport serving international civil aviation.
18 U.S.C. 115(b)(3) [by cross-reference to 18 U.S.C. 1111],Retaliatory murder of a member of the immediate family of law enforcement officials.
"18 U.S.C. 241, 242, 245, 247",Civil rights offenses resulting in death. 
18 U.S.C. 351 [by cross-reference to 18 U.S.C. 1111],"Murder of a member of Congress, an important executive official, or a Supreme Court Justice."
18 U.S.C. 794,Espionage.
"18 U.S.C. 844(d), (f), (i)","Death resulting from offenses involving transportation of explosives, destruction of government property, or destruction of property related to foreign or interstate commerce. "
18 U.S.C. 924(i),Murder committed by the use of a firearm during a crime of violence or a drug-trafficking crime.
18 U.S.C. 930,Murder committed in a federal government facility.
18 U.S.C. 1091,Genocide.
18 U.S.C. 1111,First-degree murder.
18 U.S.C. 1114,Murder of a federal judge or law enforcement official.
18 U.S.C. 1116,Murder of a foreign official.
18 U.S.C. 1118,Murder by a federal prisoner.
18 U.S.C. 1119,Murder of a U.S. national in a foreign country.
18 U.S.C. 1120,Murder by an escaped federal prisoner already sentenced to life imprisonment.
18 U.S.C. 1121,Murder of a state or local law enforcement official or other person aiding in a federal investigation; murder of a state correctional officer.
18 U.S.C. 1201,Murder during a kidnapping.
18 U.S.C. 1203,Murder during a hostage taking.
18 U.S.C. 1503,Murder of a court officer or juror.
18 U.S.C. 1512,"Murder with the intent of preventing testimony by a witness, victim, or informant."
18 U.S.C. 1513,"Retaliatory murder of a witness, victim, or informant."
18 U.S.C. 1716,Mailing of injurious articles with intent to kill or resulting in death.
18 U.S.C. 1751 [by cross-reference to 18 U.S.C. 1111],Assassination or kidnapping resulting in the death of the President or Vice President.
18 U.S.C. 1958,Murder for hire.
18 U.S.C. 1959,Murder involved in a racketeering offense.
18 U.S.C. 1992,Willful wrecking of a train resulting in death.
18 U.S.C. 2113,Bank robbery-related murder or kidnapping.
18 U.S.C. 2119,Murder related to a carjacking.
18 U.S.C. 2245,Murder related to rape or child molestation.
18 U.S.C. 2251,Murder related to sexual exploitation of children.
18 U.S.C. 2280,Murder committed during an offense against maritime navigation.
18 U.S.C. 2281,Murder committed during an offense against a maritime fixed platform.
18 U.S.C. 2332,Terrorist murder of a U.S. national in another country.
18 U.S.C. 2332a,Murder by the use of a weapon of mass destruction.
18 U.S.C. 2340,Murder involving torture.
18 U.S.C. 2381,Treason.
21 U.S.C. 848(e),"Murder related to a continuing criminal enterprise or related murder of a federal, state, or local law enforcement officer."
49 U.S.C. 1472-1473,Death resulting from aircraft hijacking.
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",
